Data
Lappeenranta,61.05499289999999,28.1896628,Raahe,64.6846329,24.4790186,27
Savonlinna,61.8679728,28.8863842,Sortavala,61.70454239999999,30.6879017,28
Savonlinna,61.8679728,28.8863842,Kotka,60.4665666,26.9459403,28
Jyväskylä,62.2426034,25.7472567,Heinola,61.2042303,26.0381008,29
Lappeenranta,61.05499289999999,28.1896628,Käkisalmi,60.97690590000001,26.6556854,29
Hamina,60.56920280000001,27.1938458,Lappeenranta,61.05499289999999,28.1896628,29
Käkisalmi,60.97690590000001,26.6556854,Viipuri,60.7139529,28.75715709999999,30
Mikkeli,61.68872709999999,27.2721457,Käkisalmi,60.97690590000001,26.6556854,31
Jyväskylä,62.2426034,25.7472567,Käkisalmi,60.97690590000001,26.6556854,31
Savonlinna,61.8679728,28.8863842,Lappeenranta,61.05499289999999,28.1896628,32
Pori,61.4851393,21.7974178,Hamina,60.56920280000001,27.1938458,32
Heinola,61.2042303,26.0381008,Vaasa,63.09508899999999,21.6164564,32
Vaasa,63.09508899999999,21.6164564,Käkisalmi,60.97690590000001,26.6556854,32
Hamina,60.56920280000001,27.1938458,Kotka,60.4665666,26.9459403,33
Hämeenlinna,60.9928787,24.4590243,Savonlinna,61.8679728,28.8863842,33
Mikkeli,61.68872709999999,27.2721457,Hamina,60.56920280000001,27.1938458,34
Pori,61.4851393,21.7974178,Heinola,61.2042303,26.0381008,34
Uusikaupunki,60.8002023,21.4225421,Turku,60.4518126,22.2666303,35
Kristiina,62.273935,21.37977,Helsinki,60.16985569999999,24.938379,35
Sortavala,61.70454239999999,30.6879017,Savonlinna,61.8679728,28.8863842,35
Savonlinna,61.8679728,28.8863842,Rauma,61.1308854,21.5059264,35
Vaasa,63.09508899999999,21.6164564,Raahe,64.6846329,24.4790186,35
Mikkeli,61.68872709999999,27.2721457,Heinola,61.2042303,26.0381008,36
Rauma,61.1308854,21.5059264,Savonlinna,61.8679728,28.8863842,36
Kotka,60.4665666,26.9459403,Mikkeli,61.68872709999999,27.2721457,37
Viipuri,60.7139529,28.75715709999999,Uusikaupunki,60.8002023,21.4225421,37
Kokkola,63.8384908,23.1304813,Jyväskylä,62.2426034,25.7472567,38
Savonlinna,61.8679728,28.8863842,Jyväskylä,62.2426034,25.7472567,38
Vaasa,63.09508899999999,21.6164564,Kristiina,62.273935,21.37977,39
Pori,61.4851393,21.7974178,Käkisalmi,60.97690590000001,26.6556854,39
Rauma,61.1308854,21.5059264,Uusikaupunki,60.8002023,21.4225421,40
Turku,60.4518126,22.2666303,Kristiina,62.273935,21.37977,40
Kotka,60.4665666,26.9459403,Hämeenlinna,60.9928787,24.4590243,41
Rauma,61.1308854,21.5059264,Kotka,60.4665666,26.9459403,41
Kotka,60.4665666,26.9459403,Kokkola,63.8384908,23.1304813,42
Viipuri,60.7139529,28.75715709999999,Heinola,61.2042303,26.0381008,43
Oulu,65.0120888,25.4650773,Heinola,61.2042303,26.0381008,45
Viipuri,60.7139529,28.75715709999999,Raahe,64.6846329,24.4790186,46
Kotka,60.4665666,26.9459403,Savonlinna,61.8679728,28.8863842,47
Mikkeli,61.68872709999999,27.2721457,Raahe,64.6846329,24.4790186,48
Mikkeli,61.68872709999999,27.2721457,Uusikaupunki,60.8002023,21.4225421,49
Kokkola,63.8384908,23.1304813,Joensuu,62.6010155,29.7635719,49
Kotka,60.4665666,26.9459403,Jyväskylä,62.2426034,25.7472567,49
Rauma,61.1308854,21.5059264,Sortavala,61.70454239999999,30.6879017,49
Kokkola,63.8384908,23.1304813,Kotka,60.4665666,26.9459403,52
Pori,61.4851393,21.7974178,Uusikaupunki,60.8002023,21.4225421,52
Joensuu,62.6010155,29.7635719,Kokkola,63.8384908,23.1304813,52
Kokkola,63.8384908,23.1304813,Turku,60.4518126,22.2666303,53
Savonlinna,61.8679728,28.8863842,Oulu,65.0120888,25.4650773,55
Savonlinna,61.8679728,28.8863842,Pori,61.4851393,21.7974178,56
Mikkeli,61.68872709999999,27.2721457,Kotka,60.4665666,26.9459403,56
Kokkola,63.8384908,23.1304813,Rauma,61.1308854,21.5059264,57
Jyväskylä,62.2426034,25.7472567,Kokkola,63.8384908,23.1304813,57
Savonlinna,61.8679728,28.8863842,Vaasa,63.09508899999999,21.6164564,57
Kotka,60.4665666,26.9459403,Lappeenranta,61.05499289999999,28.1896628,58
Lappeenranta,61.05499289999999,28.1896628,Savonlinna,61.8679728,28.8863842,58
Kokkola,63.8384908,23.1304813,Viipuri,60.7139529,28.75715709999999,59
Turku,60.4518126,22.2666303,Heinola,61.2042303,26.0381008,60
Turku,60.4518126,22.2666303,Hamina,60.56920280000001,27.1938458,61
Kristiina,62.273935,21.37977,Vaasa,63.09508899999999,21.6164564,62
Lappeenranta,61.05499289999999,28.1896628,Hamina,60.56920280000001,27.1938458,64
Pori,61.4851393,21.7974178,Raahe,64.6846329,24.4790186,64
Rauma,61.1308854,21.5059264,Joensuu,62.6010155,29.7635719,64
Rauma,61.1308854,21.5059264,Jyväskylä,62.2426034,25.7472567,64
Sortavala,61.70454239999999,30.6879017,Rauma,61.1308854,21.5059264,65
Kotka,60.4665666,26.9459403,Hamina,60.56920280000001,27.1938458,66
Heinola,61.2042303,26.0381008,Helsinki,60.16985569999999,24.938379,70
Kokkola,63.8384908,23.1304813,Helsinki,60.16985569999999,24.938379,70
